SPY,SPY,SPY,SPY,SPY
Open,High,Low,Close,Volume
573.6042314829477,574.7109450377018,571.9989917299893,573.7637939453125,38355700
573.494584132638,574.631238497171,565.5181647693191,566.9140625,51848300
565.5081892015498,569.2172558810057,563.2748014981253,565.4085083007812,42164200
563.8631197528184,564.600928853177,553.4339288758671,554.0221557617188,71662700
548.209331507722,559.0572663570716,545.2580345314915,557.7411499023438,95328200
555.8068841455135,561.2806921988606,552.0479770454208,559.3164672851562,54609600
553.4139605782862,565.747494747627,553.1746777226398,562.8560791015625,76014500
543.5032260055101,546.3547813001727,535.1180419921875,535.1180419921875,125986000
522.1264277357504,524.3199552475792,503.57129666287966,503.7906494140625,217965100
487.74808166979307,521.6279038372442,480.37984959166755,502.893310546875,256611400
520.321766684984,523.432565399183,487.71817046987917,495.0166015625,165816600
491.98558084417215,547.0029296875,491.5967157695939,547.0029296875,241867300
530.6013458963056,531.9274425958545,507.8187234468108,523.0337524414062,162331200
521.4683746979002,534.8488005902628,518.5370382681921,532.3661499023438,97866300
542.4463448071801,542.6757082402244,532.2863784402284,537.5308837890625,68034000
538.079255112781,541.6287592452915,535.2276998357879,536.0253295898438,56892900
530.1128095536914,536.3045268284891,518.7563681804631,524.1105346679688,83484800
526.0847532599682,529.604316656272,522.3657063534529,524.8583374023438,79868100
519.6238052831814,520.1622525299349,506.96125797993665,512.3652954101562,69368100
518.6068942866489,527.7398682752878,517.6596822546041,525.6959228515625,75948100
538.8370393033936,543.8223014706125,532.306358035387,533.841796875,90590700
535.137968583152,545.8164223668259,533.8717533370633,545.07861328125,64150400
545.0387382920208,549.4257324957449,542.0874411745963,549.0169677734375,61119600
549.7647656303432,551.9183721484593,543.4135463851055,549.226318359375,47613800
547.2920086038646,553.8127702769649,546.9330843434874,552.6860961914062,47775100
545.9560300157574,554.8796618213433,539.9238747243568,552.9054565429688,93101500
558.7182765361568,562.4073827721945,556.2156651498251,556.8238525390625,63186100
563.0653709624233,566.7046364907385,560.7223222120272,565.0894165039062,60717300
560.9117673476358,564.9797581165675,560.0443366413908,561.8489990234375,38659200
556.2854623092777,561.6894695117311,555.3183506499339,557.1528930664062,48264700
558.4989192920236,562.1580845152806,554.4009877287364,559.4959716796875,55588000
563.5739323580718,568.6289957190513,560.0443884974118,563.3944702148438,65130800
564.8102205798259,565.8272334952061,561.1012148853195,562.6765747070312,37603400
579.7560672258437,581.2815867067962,575.3391321114739,581.2716064453125,78993600
581.6903470478828,587.343678293745,581.1220807001266,585.1102905273438,67947200
586.0774155967079,587.2439499583633,583.8140869943453,585.8580932617188,66283500
583.8340232035316,589.2280501171933,583.3753571741278,588.7196044921875,71268100
589.5072306166389,592.7476509117832,587.5430666021017,592.4485473632812,76052100
586.3665146930052,593.784587269064,586.3665146930052,593.0966186523438,68168500
591.341882776371,592.2990142108393,587.8621184990102,591.1025390625,60614500
586.7055374013049,590.8333490882792,580.1050551487234,581.1419677734375,95197700
