BRK-B,BRK-B,BRK-B,BRK-B,BRK-B
Open,High,Low,Close,Volume
485.7699890136719,489.67999267578125,484.3999938964844,485.67999267578125,6129300
485.8999938964844,487.6499938964844,483.44000244140625,485.7699890136719,6384300
485.7799987792969,491.0899963378906,483.79998779296875,489.6099853515625,4776000
489.42999267578125,489.92999267578125,478.6199951171875,480.4800109863281,6707200
480.8900146484375,486.54998779296875,480.3599853515625,485.0,3443300
484.4200134277344,486.0799865722656,476.79998779296875,478.0299987792969,4674400
477.3500061035156,480.0,473.5799865722656,477.4700012207031,4116200
477.0,479.489990234375,475.8299865722656,478.9100036621094,3367400
477.8699951171875,478.54998779296875,475.5,478.2699890136719,4573300
476.25,476.8500061035156,471.3999938964844,475.8599853515625,4416600
474.32000732421875,478.1300048828125,473.4599914550781,476.30999755859375,4294700
475.29998779296875,475.7200012207031,470.0,470.1300048828125,4482300
471.20001220703125,472.9200134277344,468.8800048828125,471.30999755859375,3796900
470.07000732421875,474.1499938964844,467.6499938964844,473.3999938964844,4040000
474.0,478.6400146484375,473.5,473.79998779296875,4015800
473.0400085449219,478.3500061035156,472.0,474.4100036621094,3791300
475.5,483.1400146484375,475.0,478.1300048828125,4521500
480.25,484.45001220703125,479.20001220703125,482.6300048828125,4385600
482.6700134277344,486.1700134277344,480.6000061035156,480.6000061035156,5044800
481.6700134277344,484.92999267578125,479.6600036621094,484.07000732421875,4220500
484.3500061035156,486.8999938964844,481.1000061035156,481.70001220703125,3626100
482.57000732421875,485.0,476.2799987792969,476.55999755859375,4193200
475.1300048828125,479.4100036621094,473.8800048828125,476.0,3803000
472.6099853515625,477.70001220703125,471.8800048828125,471.8800048828125,6315300
473.4700012207031,475.9599914550781,470.6199951171875,472.8399963378906,5287500
468.04998779296875,468.8699951171875,455.19000244140625,459.1099853515625,10874300
460.6000061035156,467.5799865722656,460.3800048828125,464.19000244140625,6780700
465.0,469.54998779296875,463.0,468.9100036621094,4557100
469.20001220703125,472.70001220703125,461.3699951171875,461.4700012207031,5755700
462.94000244140625,465.8299865722656,462.54998779296875,465.3999938964844,3330600
466.4599914550781,468.489990234375,463.5,464.7300109863281,3712100
465.5299987792969,472.4700012207031,465.05999755859375,470.3900146484375,3767300
471.70001220703125,479.6000061035156,471.5,477.30999755859375,4629400
478.3500061035156,479.2200012207031,474.4200134277344,479.2200012207031,4187100
482.3500061035156,482.4800109863281,476.2900085449219,477.20001220703125,5229800
477.9700012207031,479.0,474.6600036621094,478.5199890136719,3911300
479.7699890136719,485.8999938964844,479.7699890136719,485.30999755859375,4726400
487.0,492.2200012207031,485.8299865722656,488.67999267578125,4779800
487.239990234375,489.04998779296875,483.67999267578125,488.5899963378906,3082200
491.5,493.1400146484375,486.57000732421875,489.0,4205100
489.010009765625,489.0199890136719,481.8299865722656,486.17999267578125,3935100
485.0199890136719,492.7900085449219,484.5299987792969,492.2099914550781,8217500
491.0799865722656,497.2099914550781,490.6000061035156,495.7200012207031,4385900
498.0299987792969,500.1400146484375,496.07000732421875,499.8599853515625,4530400
500.8500061035156,506.7200012207031,500.8500061035156,502.9800109863281,4663600
504.239990234375,505.8999938964844,497.6199951171875,501.1400146484375,4977800
499.54998779296875,502.1099853515625,496.5899963378906,501.489990234375,3206200
502.8999938964844,507.3800048828125,501.260009765625,506.9100036621094,2976700
506.0,507.6600036621094,497.75,499.7699890136719,4222900
499.0,499.6499938964844,493.4599914550781,493.7799987792969,5146300
492.45001220703125,496.8500061035156,491.7200012207031,492.7200012207031,3748700
490.0,491.70001220703125,486.2699890136719,490.0799865722656,5561600
489.3299865722656,497.239990234375,489.0299987792969,496.9100036621094,3669000
495.75,497.6300048828125,493.3399963378906,493.739990234375,2949600
493.6000061035156,495.2699890136719,489.5,491.5400085449219,3629800
491.2699890136719,491.9200134277344,487.20001220703125,490.989990234375,4070000
490.93499755859375,495.9285888671875,490.4049987792969,492.3299865722656,5035801
