JNJ,JNJ,JNJ,JNJ,JNJ
Open,High,Low,Close,Volume
146.33220624229762,146.47985654779342,143.82230123735994,144.05853271484375,10216000
145.67273207184084,147.29678017185935,145.0132694789125,147.25741577148438,7945800
147.31647786517257,149.11770341161431,146.87355699742267,148.95037841796875,8051200
149.50157663204087,150.25947282803074,148.67478897396975,150.09214782714844,12639900
149.93465596518237,151.61775829196426,149.7279515470404,151.24374389648438,7351500
150.78113837598642,152.00163015831197,150.5941236625399,150.7712860107422,7032200
150.24961525733917,150.9090929105293,148.98974410235155,150.2102508544922,7535300
150.59411881143075,151.06656674360067,149.81654794350843,150.53506469726562,6727300
151.4086547450635,152.91756823405223,150.8229423163012,152.13333129882812,6990700
152.1631025759913,152.52047999141797,150.82293348124045,151.3192901611328,8459300
150.64425494378102,152.91756191192428,150.4556369785544,152.46092224121094,6810600
152.7785884886719,154.57541249356527,152.10355063741395,154.0790557861328,15529700
153.35435991979972,154.40663368734565,151.1902520050512,154.2676544189453,6669300
153.67203573996977,154.52576986093197,152.9572808876477,153.2947998046875,8209800
153.80107754917458,153.80107754917458,152.0142055733055,152.10354614257812,6983900
152.5601875999487,152.9672037281967,151.52777233188036,152.54034423828125,5295400
152.87786649784854,154.89307352623908,152.87786649784854,153.90036010742188,5391500
153.72167143161585,154.85336406771836,153.32457699498096,154.09889221191406,5319000
154.29744087925678,156.29280456447026,153.8904398858613,155.3100128173828,6791600
155.16110778908194,155.45892483925456,153.602540476821,154.12867736816406,6016000
155.10154060065554,155.53832175445197,154.03933003610473,155.5184783935547,7075500
154.83350553390144,156.52111523341546,154.83350553390144,155.9552764892578,6587500
155.28022704052862,155.35964592964285,153.32458044545257,154.08897399902344,7024000
153.84079257896693,154.148531300887,150.99171004655418,151.26966857910156,6407100
151.45828747883434,151.53769121924913,149.6118399883077,149.63168334960938,8325200
150.15782200039877,150.2968012691706,147.95399706158494,148.6985321044922,22605500
148.64890305105794,150.32657589499183,148.64890305105794,150.21739196777344,7397900
150.3960800182556,151.60719157740567,149.87986480920696,151.0810546875,9544200
150.27695889911928,151.95464696382257,149.63168610244648,151.17039489746094,7153700
151.58733368080212,152.10354889193732,150.4258608164513,150.90235900878906,7156900
150.90235928467374,152.2127482505039,149.90964587938586,151.29945373535156,10010800
151.05128085450764,151.85537631829527,150.41594485801824,151.63697814941406,9039300
151.88515314522186,156.60054188665848,151.69653517194763,154.78387451171875,10896700
154.8632947449577,155.16111180283434,153.94007852790537,154.42649841308594,5544000
154.29743912214934,155.14125158557934,153.75145886092307,154.8732147216797,3482500
154.88314587525875,155.21074310855383,153.7613749080002,154.13861083984375,6270900
153.35436352870622,155.61774889454983,153.08634181394373,154.65481567382812,6438200
154.6548155859773,155.5482667441583,153.94007586607887,155.14125061035156,6147400
154.9625592649837,158.07967856341432,154.6846007400997,156.5409698486328,6732900
155.9453470988932,156.0346876710312,154.04926083629547,155.75672912597656,7872000
155.7269459395254,156.3225800375297,154.38679194042226,155.6773223876953,10185600
155.22066853317216,156.04462247661783,153.67203804577238,154.03933715820312,6873200
159.1319633311112,164.90954752519434,158.63560662399456,163.57931518554688,22134800
161.99095907639466,163.49988762736834,161.1173816185499,161.79241943359375,11295700
162.73549145899824,163.89697940313886,162.16965272881,162.50717163085938,9792600
162.5766715262942,163.71828583348403,161.59387984483593,163.16236877441406,8254000
163.79771676967616,166.83541745706063,163.50983653848166,166.70635986328125,9288000
167.37148692311334,167.88768698984708,165.37612327528475,167.8678436279297,10617600
168.26491777028016,168.75135277921373,167.64944032242454,168.32447814941406,6636900
168.51310084427433,168.64215843442236,166.21993529763907,167.07366943359375,6254900
166.63686892077462,166.716287809053,163.84734674076452,165.00881958007812,8014600
165.45554577730132,167.5501717232516,165.1577287183899,166.8850555419922,7663400
166.4780255450852,167.3813983278141,165.56473108200672,166.04122924804688,6189200
164.72092804453877,165.8526358681021,163.03331828531643,163.53961181640625,11036200
164.27420720537964,166.39861324980154,163.589232544041,166.11073303222656,8927800
165.81291080472943,169.9426020051953,165.425753201411,169.79368591308594,12679100
